ENGLISH SENTENCES	ARABIC SENTENCES	BANGLA SENTENCES	CHINESE SENTENCES	FRENCH SENTENCES	HATIAN CREOLE SENTENCE	MALAY SENTENCES	B_PORTUGUESE SENTENCES	RUSSIAN SENTENCES	SPANISH SENTENCES	SWAHILI  SENTENCES	TAMIL SENTENCES	THAI SENTENCES	URDU SENTENCE
It takes work to get it done.	إنـهُ يـتـطـلـب الـعـمـل لإنـهـائـهُ.	এটা সম্পূর্ণ করতে কাজ লাগে	完成它要花功夫。	Il faut travailler pour y arriver.	Fòk gen travay pou w' rive.	Ia memerlukan kerja untuk menyelesaikannya.	É preciso trabalhar para fazer isso.	Чтобы это сделать, нужно потрудиться.	Eso requiere trabajo para terminarlo.	Ni kazi kumaliza.	இதை முடிக்க வேலை செய்தாக வேண்டும்.	มันต้องใช้งานเพื่อให้เสร็จ	اسے مکمل کرنے کے لیے کام درکار ہوتا ہے۔
It is a beautiful world.	إنـهُ عـالـمٌ جـمـيـل.	এটা একটা সুন্দর পৃথিবী	这是一个美丽的世界。	C'est un monde magnifique.	Se yon bèl mond.	Ia adalah dunia yang indah.	É um mundo lindo.	Это прекрасный мир.	Es un mundo maravilloso.	Dunia ni nzuri.	இது ஒரு அழகான உலகம்.	มันเป็นโลกที่สวยงาม	یہ ایک خوبصورت دنیا ہے۔
Are you able to do it yourself?	هـل يُـمـكـنـك أن تـفـعـل هـذا بـنـفـسـك؟	তুমি কি এটা নিচে করতে পারো?	你自己做得到吗？	Es-tu capable de le faire toi-même ?	Èske w' ka fè sa pou kont ou?	Adakah anda mampu melakukannya sendiri?	Você é capaz de fazer isso sozinho?	Сможешь ли ты сделать это сам?	¿Puedes hacerlo tú solo?	Unaweza kufanya / kuifanya mwenyewe?	உங்களால் அதை தாமாக செய்ய முடியுமா?	คุณสามารถทำมันเองได้หรือไม่?	کیا آپ خود کرنے کے قابل ہیں؟
Look on top of the table.	أنـظـر أعـلـى الـمـنـضـدة.	টেবিলের উপর তাকা ও	看桌子上。	Regarde sur le dessus de la table.	Gade sou/anwo tab la.	Lihat di atas meja.	Olhe em cima da mesa.	Посмотри на стол.	Fíjate encima de la mesa.	Angalia juu ya meza	மேஜையின் மேல் பாருங்கள்.	ดูด้านบนของตาราง	میز کے اوپر دیکھو۔
She is just a little girl.	إنـهـا فـتـاةٌ صـغـيـرة.	সে একজন ছোট্ট মেয়ে	她只是个小女孩。	Ce n'est qu'une petite fille.	Li se yon tifi piti.	Dia hanyalah seorang gadis kecil.	Ela é apenas uma garotinha.	Она всего лишь маленькая девочка.	Ella no es más que una niñita.	Ni binti mdogo tu.	அவள் ஒரு சிறிய பெண்.	เธอเป็นแค่เด็กผู้หญิงตัวเล็ก ๆ	وہ صرف ایک چھوٹی سی لڑکی ہے۔
People are so nice here.	الـنـاس هـنـا ودودين.	মানুষ এখানে অনেক ভালো	这里的人很好。	Les gens sont si gentils ici.	Moun yo si janti isit la.	Orang sangat baik di sini.	As pessoas são tão legais aqui.	Здесь такие милые люди.	La gente aquí es muy amable,	Watu ni wema / wazuri sana hapa.	மக்கள் இங்கே மிகவும் இனிமையானவர்களாக உள்ளார்கள்.	ผู้คนที่นี่ดีมาก	یہاں لوگ بہت اچھے ہیں۔
Give me an example.	أضـرب لـي مـثـالاً. 	আমাকে একটা উদাহরণ দাও	给我一个例子。	Donne-moi un exemple.	Ban m' yon egzanp.	Beri saya contoh.	Me dê um exemplo.	Приведи мне пример.	Dame un ejemplo.	Nipe mfano	எனக்கு ஒரு உதாரணம் கொடுங்கள்.	ยกตัวอย่างให้ฉัน	مجھے ایک مثال دیں۔
Can you dance?	هـل تـسـتـطـيـع الـرقـص؟	তুমি কি নাচতে পারো?	你会跳舞吗？	Tu sais danser ?	Èske w' ka danse?	Anda boleh menari?	Você pode dançar?	Ты умеешь танцевать?	¿Sabes bailar?	Unaweza kucheza	நீங்கள் நடனமாடுவீர்களா?	คุณเต้นได้ไหม	کیا آپ رقص کر سکتے ہیں؟
I cut my hand.	لـقـد جـرحـت يـدي	আমি আমার হাত কেটে ফেলেছি	我割破了我的手。	Je me suis coupé la main.	Mwen koupe men m'.	Saya memotong tangan saya.	Eu cortei minha mão.	Я порезал руку.	Me corté la mano.	Nilijikata mkononi	நான் என் கையை வெட்டிக் கொண்டேன்.	ฉันตัดมือของฉัน	میں نے اپنا ہاتھ کاٹ دیا۔
She came to class.	لـقـد حـضـرت  الـحـصـة. / لـقـد حـضـرت  إلـى الـفـصـل.	সে ক্লাসে আসছে	她来上课了。	Elle est venue en classe.	Li te vin nan klas la.	Dia datang ke kelas.	Ela veio para a aula.	Она пришла в класс.	Ella vino a clase.	Alikuja darasani	அவள் வகுப்பிற்கு வந்தாள்.	เธอมาเรียน	وہ جماعت میں آئی۔
Close the door.	أغـلـق الـبـاب.	দরজা বন্ধ করো	把门关上。	Ferme la porte.	Fèmen pòt la.	Tutup pintu itu.	Feche a porta.	Закрыть дверь.	Cierra la puerta.	Funga mlango	கதவை மூடுங்கள்.	ปิดประตู	دروازہ بند کر دیں.
Look at my face	أنـظـر إلـى وجـهـي.	আমার দিকে তাকাও	看我的脸。	Regarde mon visage	Gade figi m'.	Tengok muka saya	Olha para a minha cara	Посмотри мне в лицо	Mírame a la cara.	Niangalie usoni	என் முகத்தை பாருங்கள்	มองหน้าฉันสิ	میرے چہرے کو دیکھیں۔
Stand in this place.	قـف فـى هـذا الـمـكـان.	এই জায়গায় দাড়াও	站在这个地方。	Mets-toi à cette place.	Rete nan plas sa a.	Berdiri di tempat ini.	Fique neste lugar.	Стой на этом месте.	Párate en este lugar.	Simama mahali hapa	இந்த இடத்தில் நிற்கவும்.	ยืนอยู่ในสถานที่แห่งนี้	اس جگہ کھڑے ہو جائیں۔
Make a space for me.	أعـطـنـي مـسـاحـة.	আমার জন্য জায়গা তৈরি করুন	 给我腾点空间。	Fais-moi une place.	Fè yon espas pou mwen.	Buat ruang untuk saya.	Faça um espaço para mim.	Освободи для меня место.	Haz lugar para mí.	Niwekee sehemu	எனக்கு ஒரு இடம் உருவாக்குங்கள்.	สร้างที่สำหรับฉัน	میرے لیے جگہ بنائیں۔
Have you eaten since lunch?	هـل أكـلـت مـنـذ وقـت الـغـداء؟	তুমি কি দুপুরের খাবারের পর কিছু খেয়েছো?	午饭后到现在你吃过东西吗？	As-tu mangé depuis le déjeuner ?	Manje depi maten an w' manje?	Adakah anda makan sejak makan tengah hari?	Você já comeu desde o almoço?	Ты ел после обеда?	¿Haz comido algo después de almuerzo?	Umekula tena tangu ulipokula mchana?	மதிய உணவுக்குப் பிறகு நீங்கள் சாப்பிட்டீர்களா?	คุณกินข้าวแล้วหรือยัง?	کیا آپ نے دوپہر کے کھانے کے بعد سے کھایا ہے؟
I like her voice.	أعـجـبـنـي صـوتـهـا.	আমি তার কন্ঠ পছন্দ করি	 我喜欢她的声音。	J'aime sa voix.	Mwen renmen vwa l'.	Saya suka suaranya.	Gosto da voz dela.	Мне нравится ее голос.	Me gusta su voz.	Ulimuona ndege?	எனக்கு அவள் குரல் பிடிக்கும்.	คุณสังเกตเห็นนกไหม	
Did you notice the bird?	هـل لاحـظـت الـطـائـر؟	তুমি কি পাখিটি দেখেছো?	你注意到那只鸟了吗？	Tu as remarqué l'oiseau ?	Èske w' te notifye zwazo a?	Adakah anda melihat burung itu?	Você notou o pássaro?	Ты заметил птицу?	¿Te diste cuenta del pájaro?	Unaweza inunua sehemu nyingi.	நீங்கள் அந்த பறவையை கவனித்தீர்களா?	คุณสามารถซื้อได้ในหลาย ๆ ที่	کیا آپ نے پرندے کی طرف توجہ دی؟
You can buy it in many places.	يـُـمـكـنـك أن تـشـتـريـهِ من أمـاكـن عِـدة.	তুমি এইটা অনেক জায়গা থেকে কিনতে পারো?	你可以在很多地方买到。	Vous pouvez l'acheter dans beaucoup d'endroits.	Ou ka achte sa plizyè kote?	Anda boleh membelinya di banyak tempat.	Você pode comprá-lo em muitos lugares.	Ты можешь купить его во многих местах.	Puedes comprarlo en diferentes lugares.	Funua kurasa mpya	நீங்கள் இதை பல இடங்களில் வாங்கலாம்.	พลิกหน้า	آپ اسے کئی جگہوں سے خرید سکتے ہیں۔
Turn the page over.	أطـوي الـصـفـحـة. / أقـلـب الـصـفـحـة.	পৃষ্ঠা উল্টাও	翻到下一页。	Tourne la page.	Tounen paj la.	Balik halaman.	Vire a página.	Переверни страницу.	Pasa la página.	Hiyo kofia ni kubwa	அந்த பக்கத்தை திருப்பவும்.	นั่นคือหมวกขนาดใหญ่	صفحہ الُٹ دیں۔
That is a large hat.	هـذهِ قُـبـعـة كـبـيـرة.	ওইটা একটা বড় টুপি	那是一顶很大的帽子。	C'est un grand chapeau.	Sa a se yon chapo laj.	Itu adalah topi besar.	Esse é um chapéu grande.	Это большая шляпа.	Ese es un sombrero grande.	Weka kwenye boksi	அது ஒரு பெரிய தொப்பி.	วางไว้ในกล่อง	یہ ایک بڑی ٹوپی ہے۔
Put it in a box.	ضـعـهُ فـى الـصـنـدوق.	এইটা বাক্সের মধ্যে রাখো	把它放进盒子里。	Mets-le dans une boîte.	Mete l' nan yon bwat.	Masukkan ke dalam kotak.	Coloque em uma caixa.	Положи в коробку.	Ponlo en una caja.	Nilikunywa vikombe sita	இதை ஒரு பெட்டியில் போடு.	ฉันดื่มหกแก้ว	اسے ایک ڈبے میں ڈالیں۔
I drank six cups.	لـقـد شـربـت سـتـة أكـواب.	আমি ছয় কাপ পান করেছি	我喝了杯。	J'ai bu six tasses.	I te bwè sis (6) tas.	Saya minum enam cawan.	Eu bebi seis xícaras.	Я выпил шесть чашек.	Bebí seis tazas.	Kaa pembeni yangu	நான் ஆறு குப்பி குடித்தேன்.	นั่งถัดจากฉัน	میں نے چھ کپ پیا۔
Sit next to me.	أجـلـس بـجـواري.	আমার পাশে বস	坐在我旁边。	Asseyez-vous à côté de moi.	Chita bò kote m' nan.	Duduk di sebelah saya.	Sente-se ao meu lado.	Садись рядом со мной.	Siéntate a mi lado.	Simama kando ya mlango	எனக்கு அருகில் உட்காருங்கள்.	ยืนอยู่ข้างประตู	میرے  قریب بیٹھیں۔
Stand by the door.	قـف بـجـوار الـبـاب.	দরজার পাশে দাঁড়াও	站在门口。	Mettez-vous près de la porte.	Kanpe nan pòt la.	Berdiri di tepi pintu.	Fique perto da porta.	Стой у двери.	Párate por la puerta.	Hii ni kalamu yangu	கதவிற்கு அருகில் நில்லுங்கள்.	นี่คือปากกาของฉัน	دروازے کے پاس کھڑے ہو جائیں۔
